#{"t_start": 1688313508.410927, "env_id": "None"}
r,l,t
16.343725,27,2275.026345
13.037775,23,2280.824766
47.662692,80,2300.54235
46.58069,80,2320.291528
48.610664,80,2340.207265
47.684291,80,2360.365206
50.999536,80,2380.121245
46.738965,80,2399.670643
45.697506,78,2419.230151
49.187272,80,2439.38999
29.63227,50,2451.968406
8.679585,13,2455.138005
36.390119,62,2470.560956
46.724889,80,2489.391993
48.136775,80,2508.160728
47.978838,80,2527.003461
9.235644,15,2530.541211
19.464051,28,2537.056591
47.368709,80,2556.267041
31.094478,54,2569.624952
5.478676,8,2571.594011
22.175069,36,2580.69978
49.306852,80,2600.902338
14.088094,22,2606.403781
48.683548,80,2626.354785
21.129176,37,2635.61338
47.909649,80,2681.744878
47.178151,80,2701.649267
45.676792,80,2721.715877
47.914435,80,2740.890756
38.483298,67,2757.45812
46.280195,80,2776.818357
46.943556,80,2796.824036
46.681301,80,2816.075967
45.571594,80,2835.326652
19.965461,35,2843.764629
32.136256,55,2857.314282
11.945717,20,2862.24597
46.395939,80,2881.890559
45.391987,80,2901.744274
47.272694,80,2921.995992
42.513487,74,2940.657048
10.95927,19,2945.486505
46.276432,80,2965.575676
46.753341,80,2985.659112
47.028182,80,3005.149412
45.623537,80,3024.926595
47.726563,80,3044.764321
33.210487,50,3057.049081
25.2636,43,3067.981049
47.07181,80,3087.642879
4.483843,8,3089.585604
4.124234,7,3091.25965
47.829968,80,3110.575099
5.897239,8,3112.492249
47.235548,80,3131.527748
46.879449,80,3150.968896
12.070809,20,3155.942176
49.171122,80,3175.394242
6.195979,10,3204.040562
47.174213,80,3223.840613
47.794827,80,3243.573742
47.284643,80,3263.437852
47.697227,80,3283.323828
48.974532,80,3302.887173
46.996001,80,3322.947702
47.969535,80,3342.66809
7.494627,14,3346.042398
46.465298,80,3365.744899
47.762475,80,3385.332745
45.700832,80,3404.703069
46.943446,80,3424.358029
47.251746,80,3444.785825
47.180394,80,3464.670634
46.522749,80,3484.925246
47.830681,80,3504.612368
46.524624,80,3523.472705
46.630342,80,3542.347128
46.491085,80,3561.145668
47.980546,80,3580.020353
46.67034,80,3598.775044
47.119088,80,3617.496486
47.440311,80,3636.04398
47.986589,80,3654.787724
46.984532,80,3673.719086
3.10089,5,3674.902745
46.473312,80,3693.853372
48.297243,80,3736.143053
6.493886,12,3739.058156
47.035347,80,3758.577743
47.78923,80,3777.807807
47.133907,80,3797.633501
47.828711,80,3817.763565
47.231427,80,3838.256349
47.743407,80,3858.877476
48.099595,80,3878.521119
47.029573,80,3898.097015
47.312556,80,3917.524482
28.27629,47,3929.213226
48.477764,80,3948.949303
49.388578,80,3969.025152
47.686243,80,3988.742391
52.752476,80,4008.803047
47.534035,80,4028.831783
49.477627,80,4049.229717
47.369553,80,4069.11791
45.806726,80,4088.918753
48.305622,80,4108.702248
48.922571,80,4128.127398
50.884912,80,4148.055154
49.034067,80,4168.01745
47.924688,80,4187.616621
42.999711,73,4205.477796
49.945515,80,4225.613865
18.27264,32,4259.651449
45.961539,80,4279.552782
50.581101,80,4299.537807
47.33521,80,4319.170977
46.614365,80,4338.855778
47.430695,80,4358.605023
47.177609,80,4379.819155
47.472799,80,4399.913153
19.327198,31,4408.537867
48.244829,80,4428.964597
46.549111,80,4449.795362
46.319439,80,4470.501867
46.982388,80,4490.909306
8.379171,15,4494.77302
47.641936,80,4514.52362
46.040123,80,4534.446175
46.731882,80,4554.332075
3.740514,7,4556.083735
47.357723,80,4575.855153
47.583308,80,4595.241054
48.988061,80,4614.953262
48.030042,80,4634.785626
46.6863,80,4654.65305
46.175775,80,4674.681486
45.499016,80,4694.274976
47.607342,80,4714.353226
46.456327,80,4734.574033
47.963738,80,4754.578742
47.907043,80,4801.64639
47.567245,80,4821.820395
4.934823,7,4823.605238
47.81355,80,4843.888248
46.358204,80,4863.946971
20.703918,34,4872.386227
46.916573,80,4892.812463
18.728855,31,4900.543598
46.599504,80,4920.635731
47.244652,80,4940.556123
47.473632,80,4960.73461
47.784921,80,4980.788649
47.528346,80,5000.709301
46.460457,80,5020.250118
49.209288,80,5040.712122
46.515295,80,5060.623112
46.100998,80,5080.645241
47.936632,80,5100.637949
2.94277,5,5101.913319
6.979955,12,5104.960472
46.901819,80,5124.978147
47.79746,79,5144.701773
46.946533,80,5164.728458
46.002231,80,5184.598646
45.730584,80,5204.667502
46.188481,80,5224.747316
45.254247,80,5245.068697
46.703688,80,5265.071795
46.633028,80,5284.615254
46.862703,80,5304.856718
