#{"t_start": 1688336885.9006646, "env_id": "None"}
r,l,t
17.794539,21,386.78928
31.129369,36,403.132607
5.762458,8,406.737435
11.39039,17,414.90264
6.201272,8,419.17509
5.805309,9,424.590645
19.19338,24,438.240883
12.033058,15,446.149906
19.744871,26,460.65323
42.122012,54,489.292275
14.652691,18,498.641877
22.339173,32,515.656085
2.99787,4,517.677752
39.454323,57,544.53323
27.860285,32,560.941852
9.820614,15,568.321055
31.679773,41,588.377768
6.24318,8,592.424571
8.215911,10,597.17193
54.353223,80,635.421964
25.956745,32,653.352472
29.688402,40,674.725021
9.619226,13,681.853695
57.165767,80,725.067689
41.103439,60,757.205083
20.596033,29,771.948851
6.652994,9,776.214042
11.048882,14,782.769456
24.940033,37,801.550892
12.317415,21,812.419516
48.947522,71,849.825821
13.954226,17,858.952434
3.82478,6,861.978243
56.304742,80,903.179906
5.743915,8,907.019522
14.205441,20,916.399072
57.178986,77,952.646715
26.901992,36,969.609236
34.026184,47,991.553788
6.24765,8,995.33039
13.526513,17,1003.270403
5.637854,8,1007.047941
3.035122,4,1008.960456
8.202671,14,1015.510643
29.673686,34,1031.457682
5.053623,9,1035.796038
8.16528,10,1040.491236
6.226769,10,1045.205998
17.828851,21,1055.160943
52.755943,70,1092.422405
10.076084,15,1099.894877
6.865699,9,1104.208447
6.121925,8,1107.954525
16.878585,22,1118.65242
15.510506,23,1129.665074
39.477165,55,1156.913326
28.91245,44,1180.696623
34.313394,46,1203.86773
9.337614,11,1209.725756
20.732611,29,1225.609028
31.492386,41,1247.568637
20.970261,27,1262.152606
10.651021,13,1268.821297
34.601788,51,1294.798689
13.849632,19,1304.992684
7.391816,10,1310.302001
19.641099,24,1322.07261
5.743079,9,1326.729249
20.506628,27,1341.434095
4.720752,7,1345.168808
10.171842,15,1352.604092
22.144982,25,1365.184952
34.402904,51,1391.162064
39.380036,55,1420.914605
8.898865,11,1426.654742
11.55451,16,1434.694569
27.666281,43,1457.146586
5.897115,8,1461.556662
52.562777,68,1499.597517
45.414379,67,1535.247245
26.306449,40,1556.050474
22.104062,30,1571.003719
12.998241,15,1578.504264
20.887048,29,1593.180118
9.79011,15,1600.674801
10.134867,14,1608.500471
5.581396,10,1614.030774
39.0861,57,1645.717433
6.08118,9,1650.272132
20.883613,28,1663.991772
40.483799,55,1691.501495
9.578184,15,1699.160195
22.486529,33,1715.101283
22.908171,26,1728.45725
11.115749,16,1736.81521
26.0602,41,1757.283573
12.575657,20,1767.39114
12.440054,15,1775.149042
28.15771,38,1793.725208
9.067223,11,1799.250158
39.293806,55,1826.680863
3.241694,5,1829.080028
27.351302,36,1846.270388
17.500528,20,1856.677577
16.617459,28,1870.153697
14.543557,18,1879.139494
18.035353,22,1890.307675
14.404289,19,1900.245749
10.494765,14,1907.322577
40.870578,61,1939.048244
9.598784,12,1945.213478
