#{"t_start": 1688339040.6460447, "env_id": "None"}
r,l,t
51.770511,64,2566.538429
29.482699,37,2582.214576
16.358943,24,2592.306152
29.62075,39,2608.614052
27.243745,37,2624.192206
43.712916,64,2651.065448
17.594367,24,2661.215116
21.071385,30,2673.797183
6.971899,11,2678.487222
4.468014,7,2681.458221
13.368793,18,2689.036157
22.152837,29,2701.257769
8.749041,13,2706.818837
24.845954,36,2722.095052
42.723321,55,2745.294708
16.610024,23,2754.986764
6.05468,8,2758.345773
5.50434,7,2761.34235
24.688376,35,2776.103194
23.68045,34,2790.45034
10.78404,14,2796.422875
30.554047,40,2813.168988
5.493339,8,2816.591584
21.878902,28,2828.458682
8.624929,13,2834.003758
28.4095,32,2847.582413
23.165815,33,2861.522318
14.395307,21,2870.354628
22.76529,35,2885.03658
6.169914,9,2888.868598
10.456473,12,2894.030105
16.989208,27,2905.32369
20.618774,28,2917.098248
11.814274,16,2923.8623
7.479106,9,2927.768365
11.478705,17,2934.944976
22.415868,33,2948.813008
11.124118,14,2954.703046
8.791338,10,2958.891737
10.36112,16,2965.747823
5.648729,8,2969.20033
18.112611,27,2980.586557
11.507627,17,2987.7676
23.652753,34,3002.079767
4.537876,6,3004.712099
18.440849,25,3015.256756
30.359142,35,3030.006538
4.652997,6,3032.580046
4.994285,7,3035.563107
15.019927,25,3046.046615
18.258203,22,3055.318206
7.324896,9,3059.109752
13.905772,17,3066.312893
18.899195,22,3075.590973
10.829842,15,3081.926683
12.617471,15,3088.255835
14.475954,19,3096.27086
9.813438,13,3101.787416
13.488001,21,3110.647075
6.481997,11,3115.328597
15.775728,21,3124.238714
22.502801,30,3136.940807
14.578468,24,3147.092551
4.344059,6,3149.693569
32.310021,43,3167.935742
32.529523,50,3188.925122
20.837543,24,3199.02123
34.682593,53,3221.287534
52.585224,80,3254.930017
2.894181,4,3256.669017
23.460874,30,3269.322203
38.33271,53,3291.758913
19.499624,26,3302.809037
9.867026,11,3307.45806
16.803002,24,3317.551131
13.134094,18,3325.06217
7.575227,12,3330.150751
17.122539,25,3340.783007
6.033778,8,3344.21501
9.704111,15,3350.521214
15.30279,17,3357.727371
7.921658,10,3361.956393
51.36846,80,3395.621032
10.06216,15,3401.952117
31.008413,39,3418.413713
4.106889,6,3421.022016
7.158091,9,3424.839035
29.352856,39,3441.322727
25.972749,39,3457.739442
40.53899,55,3480.793767
5.121891,8,3484.211787
7.41463,9,3488.032531
14.26903,22,3497.27107
35.370078,50,3518.416567
7.208318,12,3523.510864
9.133621,13,3529.014395
14.827131,18,3536.62294
10.711056,13,3542.138959
3.084614,5,3544.327957
15.566999,20,3552.783626
11.060912,16,3559.576265
9.796419,13,3565.041394
14.140047,19,3573.025478
18.396157,22,3582.294216
4.44019,6,3584.883263
24.763979,36,3599.951861
4.481799,6,3602.569386
34.277253,44,3621.056689
12.905283,18,3628.650923
17.943706,23,3638.338686
18.81817,29,3650.620582
14.338012,22,3659.865244
10.350882,16,3666.653292
4.567462,6,3669.227292
15.472137,23,3678.867911
13.010355,18,3686.515563
10.141079,13,3692.001196
18.541603,29,3704.244824
12.0439,18,3711.843447
38.830637,57,3735.815597
19.770682,22,3745.134717
19.959909,29,3757.338828
33.739998,43,3775.479557
6.533383,9,3779.300645
23.789749,36,3794.527259
5.564516,8,3797.919259
18.713355,21,3806.799334
37.138847,49,3827.477073
12.457814,19,3835.508591
20.249659,28,3847.373154
40.742628,49,3868.039282
33.9333,47,3887.766356
25.270412,32,3901.291956
8.257184,10,3905.567467
4.500605,7,3908.575467
9.141546,12,3913.684584
8.056911,11,3918.367094
3.699718,5,3920.547131
22.860095,34,3934.826354
12.140455,17,3942.001563
23.528348,32,3955.459193
8.510993,11,3960.112209
18.774965,23,3969.848351
12.457024,18,3977.465159
5.601245,7,3980.43516
9.108621,14,3986.340801
9.33832,11,3991.060354
15.158313,17,3998.204073
52.198629,80,4031.765275
19.588418,27,4043.123461
7.757479,10,4047.380006
21.441409,28,4059.171006
7.228205,10,4063.444538
3.922528,5,4065.611609
5.978453,8,4069.039118
10.499623,12,4074.114705
12.227874,17,4081.268231
59.007302,80,4115.22566
56.614273,80,4148.74895
20.556682,33,4162.721596
62.199933,80,4196.289753
8.183577,11,4200.968792
4.467883,6,4203.554412
55.531499,80,4237.075248
10.923491,15,4243.441415
3.801029,5,4245.610994
20.076011,28,4257.367082
