#{"t_start": 1688331577.7193687, "env_id": "None"}
r,l,t
59.96798,80,33.863913
31.480655,43,43.567313
15.729357,22,48.536519
59.982431,80,65.815042
31.62963,43,75.103399
37.535818,51,86.292268
12.194444,17,90.028108
37.482431,51,101.233314
32.347609,44,110.929679
37.597609,51,122.086484
