#{"t_start": 1688332488.3344266, "env_id": "None"}
r,l,t
18.031792,25,19.722237
13.656663,16,22.523781
22.29225,31,28.043362
39.557812,50,37.071488
30.404579,42,44.482494
38.931176,51,53.492186
31.280016,41,60.653793
4.159472,5,61.541812
19.940273,30,66.816124
12.68256,20,70.327363
3.848464,5,71.242298
30.96322,41,78.506281
3.81304,6,79.587394
13.377166,17,82.59133
36.548496,46,90.773947
5.834803,7,91.990519
19.444775,28,96.941177
17.151099,24,101.180749
3.785779,5,102.074876
3.211056,5,102.96035
63.062204,80,117.223162
9.686867,12,119.376138
6.887704,10,121.1668
30.708817,45,129.136572
8.745459,10,130.926281
3.859794,5,131.817264
4.408672,6,132.896998
5.655119,8,134.315935
6.710223,11,136.280712
20.603383,26,140.931323
24.686067,38,147.587757
3.400496,5,148.459356
26.179982,43,155.974738
6.621994,9,157.583439
36.084256,46,165.780717
12.081319,15,168.445537
33.581339,44,176.237425
6.88002,8,177.657688
6.559037,9,179.241644
13.873611,16,182.163122
4.888515,7,183.426567
43.323691,61,194.27977
19.205153,28,199.252714
2.83256,4,199.976867
39.713675,56,209.822769
38.853003,51,218.94752
50.433734,66,230.611144
47.722657,65,242.28064
5.914642,9,243.915288
29.274271,38,250.643028
15.419785,19,254.07498
9.345557,12,256.178997
23.051181,31,261.677577
20.269649,26,266.251199
3.97609,5,267.159715
3.867619,5,268.059738
11.537839,13,270.353618
5.516222,7,271.59969
18.14137,24,275.848602
9.884447,16,278.670889
4.104573,5,279.591063
5.318175,7,280.860855
38.02935,51,289.84806
17.61524,21,293.625178
13.159974,20,297.196543
22.257003,29,302.408817
5.08421,7,303.665276
19.077302,21,307.413575
32.901557,50,316.206862
22.044053,33,322.122551
12.704161,17,325.199072
14.465939,17,328.332633
12.196477,19,331.780954
19.149958,24,335.989378
36.191808,50,344.843791
4.754133,6,345.924478
34.572448,50,354.723653
11.29803,14,357.231739
25.642566,33,363.023105
13.410554,20,366.607015
12.750538,20,370.212092
18.440219,29,375.402561
10.49963,12,377.509196
15.292333,19,380.859782
21.115947,29,386.097553
11.186116,14,388.558369
13.819474,21,392.285687
16.11864,26,396.955588
5.537882,8,398.390492
13.476459,19,401.817051
17.03907,20,405.38276
4.542572,6,406.466352
31.446776,44,414.328094
12.596558,16,417.145083
5.071959,8,418.600996
6.276201,9,420.232841
3.771361,5,421.1211
9.601444,16,423.987725
27.626057,42,431.437409
46.480192,73,444.243528
37.233249,51,453.350636
21.383556,37,459.886698
23.609127,30,465.261063
15.089686,21,468.954016
15.304119,19,472.324497
5.884702,9,473.927066
