#{"t_start": 1688332488.3344266, "env_id": "None"}
r,l,t
6.661007,10,475.684432
2.524555,4,476.41076
25.378601,36,482.780846
4.553414,6,483.841821
10.04699,14,486.301461
3.663299,5,487.213835
25.969012,29,492.321255
10.974052,14,494.803504
15.998972,19,498.138637
4.810046,6,499.220742
10.018092,15,501.868996
11.749865,14,504.356816
13.764302,20,507.89777
53.959091,80,522.057971
30.095261,43,529.658676
3.780929,6,530.756428
7.32011,12,532.913728
19.805246,25,537.276965
10.550002,16,540.097953
19.102223,30,545.345042
16.84894,22,549.220456
47.588635,61,559.999845
35.624179,47,568.36673
10.156887,13,570.706196
3.682617,5,571.602767
40.3049,53,580.905845
24.69027,33,586.808325
6.302088,10,588.564496
18.388409,26,593.151906
6.868116,8,594.576073
5.606082,7,595.845199
58.100458,80,609.869997
10.558851,18,613.105304
4.294382,7,614.371473
6.995585,8,615.786932
6.3383,10,617.53528
27.418105,36,623.997745
20.516784,29,629.102964
59.183632,80,643.258628
8.662777,13,645.550306
4.222716,6,646.625341
61.701529,80,660.734912
6.977284,10,662.529106
10.995762,13,664.791686
10.313106,13,667.113304
25.10996,35,673.280266
9.871037,15,675.930408
22.430547,31,681.424085
50.484128,71,694.883636
4.56647,6,695.986679
14.2099,22,699.924379
30.658499,40,707.062807
18.283223,27,711.754593
16.344521,19,715.046844
9.789836,13,717.343854
5.330376,8,718.763277
14.333273,23,722.837027
9.471102,11,724.798115
16.990345,21,728.54133
5.654828,7,729.791874
56.174933,80,743.838452
48.556116,58,754.018068
4.103784,5,754.948253
25.161645,37,761.456279
21.569936,31,766.909287
14.561187,19,770.223746
15.82482,21,773.888748
27.412354,35,780.054965
26.9373,37,786.554647
25.307679,32,792.282466
13.058662,17,795.300004
14.664833,21,799.038983
23.194463,30,804.353846
5.121453,6,805.427163
5.3083,9,807.036925
25.087141,39,813.949606
16.145445,27,818.72294
14.375254,21,822.383251
14.09964,20,825.948776
5.150926,6,827.018051
7.82754,9,828.628911
6.041032,9,830.224855
22.161934,32,835.861177
23.529706,35,842.077121
17.552509,27,846.821437
3.597945,5,847.71958
11.731875,13,849.996125
16.590242,27,854.817302
5.878087,8,856.246597
6.055615,8,857.677699
26.479804,30,862.964766
3.791144,5,863.866099
10.986335,16,866.694867
38.121387,49,875.240937
11.359805,14,877.72839
26.667696,30,883.034653
11.619524,13,885.403738
2.916527,4,886.134079
8.53518,13,888.401311
9.871468,16,891.195988
18.405297,23,895.251287
4.885487,7,896.511842
11.039635,15,899.14002
41.086781,56,909.000377
10.786612,15,911.662268
34.749429,51,920.683008
39.354831,55,930.35864
7.568637,11,932.287769
34.030955,44,940.126392
6.278882,9,941.743951
6.331439,9,943.378029
8.586191,11,945.327332
6.374039,9,946.905759
38.383307,51,955.954528
11.932487,15,958.604488
28.702919,39,965.495285
6.040589,9,967.102071
16.884985,21,970.807299
32.087974,44,978.572144
25.126987,35,984.746904
37.137353,45,992.76469
13.848741,21,996.479036
41.397266,54,1005.977727
8.410871,12,1008.095911
13.609769,22,1011.961313
3.044525,4,1012.683111
19.936264,27,1017.450372
8.496034,13,1019.721474
18.211906,25,1024.140911
9.59673,14,1026.60497
12.8916,19,1029.990676
9.70922,16,1032.831691
4.155243,6,1033.9009
56.095364,79,1047.719743
13.265377,17,1050.678378
4.086092,6,1051.756096
13.059659,17,1054.73211
17.75934,19,1058.053362
15.754517,23,1062.117323
5.974961,8,1063.534064
21.419186,32,1069.178913
11.031182,15,1071.811094
6.064671,9,1073.421855
22.20468,29,1078.615675
21.479659,28,1083.606969
11.892396,15,1086.236346
5.80189,9,1087.834455
21.196633,30,1093.111272
9.215232,11,1095.080137
43.930084,56,1105.046529
3.748656,6,1106.113825
16.674977,24,1110.356692
20.055928,26,1114.954512
26.997934,35,1121.374312
33.728298,50,1130.549628
6.282005,8,1131.974108
9.578545,14,1134.504523
12.149454,17,1137.526622
6.200964,9,1139.181751
6.610566,8,1140.606274
3.932857,5,1141.505651
10.782462,14,1144.072129
4.534995,6,1145.168631
19.233149,31,1150.867434
19.675825,25,1155.335579
8.827507,13,1157.891486
7.5638,9,1159.574953
27.865197,39,1166.987982
14.794492,20,1170.647929
19.063856,25,1175.141089
9.36967,14,1177.663525
4.84493,6,1178.760486
6.725588,8,1180.214937
19.052322,24,1184.576044
19.692955,24,1188.857764
14.25498,21,1192.616868
7.682445,10,1194.423095
17.394639,24,1198.797343
3.500731,6,1199.867517
45.652706,66,1212.216931
21.639301,33,1218.203192
11.203396,13,1220.567491
6.777829,8,1222.029236
4.471728,7,1223.323593
7.240555,9,1224.969882
13.384586,20,1228.555683
10.649031,12,1230.732621
15.805041,18,1234.039331
9.258756,13,1236.40009
12.183413,17,1239.494131
30.428036,48,1248.297382
5.017836,7,1249.583635
19.426721,23,1253.641535
23.32761,35,1259.931854
44.48266,62,1270.886457
17.855026,24,1275.150573
6.151739,11,1277.158584
22.703445,34,1283.319103
18.982136,27,1288.258762
3.754213,6,1289.492785
8.57877,10,1291.345817
37.980007,56,1301.447236
18.284987,22,1305.523336
16.722317,24,1309.917854
17.288558,22,1313.97622
18.714501,28,1318.985205
61.48368,79,1333.256556
7.433673,9,1334.877603
6.199359,9,1336.524062
49.682333,76,1350.009192
25.597971,40,1357.242176
21.920763,28,1362.263756
5.106777,6,1363.338056
10.681391,12,1365.542472
6.324164,9,1367.196522
7.865027,10,1368.980963
3.192494,4,1369.716316
19.246275,30,1374.981363
51.426548,80,1389.389856
28.969208,42,1396.898324
7.307429,11,1398.990496
11.749732,16,1401.800184
13.56622,22,1405.846996
7.46584,10,1407.664683
4.891136,6,1408.747998
11.198377,15,1411.49101
6.285707,9,1413.120984
29.382287,40,1420.247364
17.477963,29,1425.514746
5.560787,9,1427.129868
12.562615,14,1429.606333
6.435017,8,1431.031911
11.580446,16,1433.963903
15.265735,20,1437.609816
9.627465,11,1439.554111
20.134767,28,1444.498375
14.273751,21,1448.212113
29.032209,38,1454.898837
15.520179,24,1459.132212
9.400053,15,1461.786194
3.844032,6,1462.871444
8.343274,12,1464.995126
25.719335,35,1471.282124
6.266221,9,1472.894702
34.728076,55,1482.799164
13.381091,17,1485.839683
17.327009,24,1490.11125
6.690953,8,1491.595466
4.611421,7,1492.889619
14.350314,20,1496.549526
39.322424,49,1505.340717
3.152413,4,1506.090071
17.960109,26,1510.794685
26.746705,35,1517.082278
31.913542,46,1525.261666
4.164789,5,1526.172375
3.938401,5,1527.066524
3.038731,4,1527.791035
5.958046,9,1529.366663
17.982504,24,1533.627096
13.290092,16,1536.464335
9.349655,11,1538.427567
28.931046,41,1545.656525
10.855245,17,1548.71098
4.719155,7,1549.970639
26.041078,36,1556.435236
20.4112,24,1560.811552
7.623515,11,1562.788046
20.163972,27,1567.781458
44.851646,57,1578.241324
17.670016,24,1582.767258
51.43818,67,1594.677464
36.52896,46,1603.087091
28.475896,38,1610.112747
22.295026,33,1616.030508
33.411859,45,1624.165791
15.717156,25,1628.736829
13.437118,16,1631.646677
27.691868,40,1638.674561
19.437975,26,1643.353971
7.622643,10,1645.136147
17.592308,23,1649.25203
9.860029,12,1651.452781
19.964832,29,1656.69229
17.725692,24,1661.040659
7.186108,9,1662.713147
50.733927,66,1674.745342
56.059868,80,1688.991322
11.010004,13,1691.350544
23.15245,35,1697.679204
33.515108,41,1704.88419
9.730723,13,1707.216747
19.393593,30,1712.524144
4.078439,6,1713.58712
10.354925,16,1716.515085
7.130575,10,1718.314198
6.735071,10,1720.25345
25.92714,38,1727.129644
11.625562,19,1730.533288
7.978842,9,1732.185513
4.306605,6,1733.361903
11.721357,15,1736.180759
3.597021,5,1737.119546
60.113336,80,1751.878273
55.510472,80,1766.106284
21.767901,35,1772.340401
6.973811,9,1773.982771
9.364561,15,1776.718943
8.922437,12,1778.879836
5.794062,7,1780.127306
4.674643,6,1781.219858
12.493663,16,1784.074867
10.236573,12,1786.197757
34.710388,48,1794.815569
9.436318,12,1796.964132
24.62893,39,1804.073848
4.10782,5,1805.006806
8.216976,12,1807.159256
17.255847,23,1811.236236
19.245479,23,1815.40397
4.135524,6,1816.487102
11.040968,16,1819.414474
12.010528,17,1822.511595
29.328017,42,1830.058291
18.32962,23,1834.185179
8.141218,12,1836.347235
7.854576,9,1837.977584
5.279908,7,1839.222994
3.963273,5,1840.110625
10.241161,12,1842.264189
17.783859,26,1846.894743
6.217394,8,1848.321176
4.509715,7,1849.602983
4.516073,7,1850.876539
9.005606,11,1852.843065
8.069235,10,1854.643796
3.960211,5,1855.56142
14.847593,18,1858.80345
17.706403,22,1862.690154
4.185522,5,1863.60054
14.641818,22,1867.493207
11.230154,14,1869.925358
8.910449,11,1871.879541
10.561786,13,1874.187943
36.93885,49,1882.775722
10.293633,14,1885.221794
7.728283,9,1886.839678
37.459448,54,1896.27645
18.877876,25,1900.74674
13.325937,15,1903.459932
8.764233,12,1905.588854
26.158469,38,1912.276359
14.257281,21,1915.946412
41.439348,63,1927.02371
9.643038,12,1929.173776
20.848055,29,1934.271622
58.635551,80,1948.595479
13.433387,21,1952.307199
8.464564,11,1954.30998
29.763361,41,1961.505944
37.887105,61,1972.183701
9.945939,15,1974.822556
16.101638,24,1979.049616
13.639537,18,1982.231139
46.277003,59,1992.90717
3.928645,5,1993.939063
13.39992,17,1996.954857
5.963494,9,1998.634837
4.647524,6,1999.860236
23.713526,26,2004.601948
3.654877,6,2005.897008
6.119236,9,2007.608932
11.110832,17,2010.798052
9.992692,14,2013.31179
7.701191,13,2015.652459
24.392603,34,2021.683145
4.425496,6,2022.771194
10.975737,15,2025.436352
19.857763,27,2030.205279
6.777821,8,2031.631663
13.414578,18,2034.837666
14.617088,20,2038.431125
16.162134,18,2041.663142
11.715713,14,2044.157365
4.419235,6,2045.218497
25.497216,35,2051.352839
31.761117,47,2059.849658
28.243064,36,2066.339931
4.306886,6,2067.444729
16.490564,18,2070.61647
12.631148,15,2073.31479
5.865394,8,2074.77371
28.450893,31,2080.291343
18.131132,28,2085.423083
32.42768,46,2093.623383
5.145031,6,2094.758035
9.042197,11,2096.701438
17.197053,26,2101.410861
17.701156,29,2106.654886
18.734611,23,2110.792981
2.749695,4,2111.519881
25.292378,29,2116.63082
9.766875,16,2119.437079
12.540998,20,2122.974944
32.980044,47,2131.303104
34.959429,53,2140.910578
28.674764,35,2147.132921
6.082122,7,2148.353832
20.751923,25,2152.761663
4.529889,7,2154.046548
21.431387,33,2159.8996
4.317222,6,2160.990536
